法规名称,法条号,内容,时效性,一级效力级别,二级效力级别,地域(含市),实施日期,失效日期,地域,详情链接,法条ID,法规ID,标签,相似度评分,类型
中华人民共和国民法典,第一千一百九十条,"　完全民事行为能力人对自己的行为暂时没有意识或者失去控制造成他人损害有过错的，应当承担侵权责任；没有过错的，根据行为人的经济状况对受害人适当补偿。 
　　完全民事行为能力人因醉酒、滥用麻醉药品或者精神药品对自己的行为暂时没有意识或者失去控制造成他人损害的，应当承担侵权责任。",现行有效,法律,法律,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=1190,55dceb7d83a1c90e3fe9c141b1118193_1190,55dceb7d83a1c90e3fe9c141b1118193,"['企业法##内资企业', '建设工程法##综合', '财税##其他法律法规##其他法律', '财税##其他法律法规', '未成年保护##意外受伤', '未成年保护##校园霸凌', '企业法', '未成年保护', '建设工程法', '未成年保护##同学矛盾', '未成年保护##家庭暴力', '企业法##对外业务活动规范', '财税']",1.00783848,1
最高人民法院关于审理生态环境侵权责任纠纷案件适用法律若干问题的解释,第二十四条,两个以上侵权人就污染环境、破坏生态造成的损害承担连带责任，实际承担责任超过自己责任份额的侵权人根据民法典第一百七十八条的规定向其他侵权人追偿的，人民法院应予支持。侵权人就惩罚性赔偿责任向其他侵权人追偿的，人民法院不予支持。,现行有效,司法解释,高法司法解释,中央,20230901,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/ab5b937349ccc5ebe0579c5d69505604?text=24,ab5b937349ccc5ebe0579c5d69505604_24,ab5b937349ccc5ebe0579c5d69505604,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",0.9861126,1
最高人民法院关于审理生态环境侵权责任纠纷案件适用法律若干问题的解释,第十一条,"过失为侵权人污染环境、破坏生态提供场地或者储存、运输等便利条件，被侵权人请求行为人承担与过错相适应责任的，人民法院应予支持。
　　前款规定的行为人存在重大过失的，依照本解释第十条的规定处理。",现行有效,司法解释,高法司法解释,中央,20230901,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/ab5b937349ccc5ebe0579c5d69505604?text=11,ab5b937349ccc5ebe0579c5d69505604_11,ab5b937349ccc5ebe0579c5d69505604,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",0.9407861999999999,1
中华人民共和国民法典,第一千一百九十八条,"　宾馆、商场、银行、车站、机场、体育场馆、娱乐场所等经营场所、公共场所的经营者、管理者或者群众性活动的组织者，未尽到安全保障义务，造成他人损害的，应当承担侵权责任。 
　　因第三人的行为造成他人损害的，由第三人承担侵权责任；经营者、管理者或者组织者未尽到安全保障义务的，承担相应的补充责任。经营者、管理者或者组织者承担补充责任后，可以向第三人追偿。",现行有效,法律,法律,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=1198,55dceb7d83a1c90e3fe9c141b1118193_1198,55dceb7d83a1c90e3fe9c141b1118193,"['企业法##内资企业', '建设工程法##综合', '财税##其他法律法规##其他法律', '财税##其他法律法规', '未成年保护##意外受伤', '未成年保护##校园霸凌', '企业法', '未成年保护', '建设工程法', '未成年保护##同学矛盾', '未成年保护##家庭暴力', '企业法##对外业务活动规范', '财税']",0.9011018399999999,1
最高人民法院关于审理生态环境侵权责任纠纷案件适用法律若干问题的解释,第六条,"两个以上侵权人分别污染环境、破坏生态，每一个侵权人的行为都不足以造成全部损害，被侵权人根据民法典第一千一百七十二条的规定请求侵权人承担责任的，人民法院应予支持。
　　侵权人主张其污染环境、破坏生态行为不足以造成全部损害的，应当承担相应举证责任。",现行有效,司法解释,高法司法解释,中央,20230901,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/ab5b937349ccc5ebe0579c5d69505604?text=6,ab5b937349ccc5ebe0579c5d69505604_6,ab5b937349ccc5ebe0579c5d69505604,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",0.86902572,1
中华人民共和国民法典,第一千一百六十七条,　侵权行为危及他人人身、财产安全的，被侵权人有权请求侵权人承担停止侵害、排除妨碍、消除危险等侵权责任。,现行有效,法律,法律,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=1167,55dceb7d83a1c90e3fe9c141b1118193_1167,55dceb7d83a1c90e3fe9c141b1118193,"['企业法##内资企业', '建设工程法##综合', '财税##其他法律法规##其他法律', '财税##其他法律法规', '未成年保护##意外受伤', '未成年保护##校园霸凌', '企业法', '未成年保护', '建设工程法', '未成年保护##同学矛盾', '未成年保护##家庭暴力', '企业法##对外业务活动规范', '财税']",0.86714988,1
中华人民共和国民法典,第一千一百七十三条,　被侵权人对同一损害的发生或者扩大有过错的，可以减轻侵权人的责任。,现行有效,法律,法律,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=1173,55dceb7d83a1c90e3fe9c141b1118193_1173,55dceb7d83a1c90e3fe9c141b1118193,"['企业法##内资企业', '建设工程法##综合', '财税##其他法律法规##其他法律', '财税##其他法律法规', '未成年保护##意外受伤', '未成年保护##校园霸凌', '企业法', '未成年保护', '建设工程法', '未成年保护##同学矛盾', '未成年保护##家庭暴力', '企业法##对外业务活动规范', '财税']",0.8510646000000001,1
中华人民共和国民法典,第一百八十六条,　因当事人一方的违约行为，损害对方人身权益、财产权益的，受损害方有权选择请求其承担违约责任或者侵权责任。,现行有效,法律,法律,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=186,55dceb7d83a1c90e3fe9c141b1118193_186,55dceb7d83a1c90e3fe9c141b1118193,"['企业法##内资企业', '建设工程法##综合', '财税##其他法律法规##其他法律', '财税##其他法律法规', '未成年保护##意外受伤', '未成年保护##校园霸凌', '企业法', '未成年保护', '建设工程法', '未成年保护##同学矛盾', '未成年保护##家庭暴力', '企业法##对外业务活动规范', '财税']",0.8458459799999999,1
中华人民共和国民法典,第一千一百九十一条,"　用人单位的工作人员因执行工作任务造成他人损害的，由用人单位承担侵权责任。用人单位承担侵权责任后，可以向有故意或者重大过失的工作人员追偿。 
　　劳务派遣期间，被派遣的工作人员因执行工作任务造成他人损害的，由接受劳务派遣的用工单位承担侵权责任；劳务派遣单位有过错的，承担相应的责任。",现行有效,法律,法律,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=1191,55dceb7d83a1c90e3fe9c141b1118193_1191,55dceb7d83a1c90e3fe9c141b1118193,"['企业法##内资企业', '建设工程法##综合', '财税##其他法律法规##其他法律', '财税##其他法律法规', '未成年保护##意外受伤', '未成年保护##校园霸凌', '企业法', '未成年保护', '建设工程法', '未成年保护##同学矛盾', '未成年保护##家庭暴力', '企业法##对外业务活动规范', '财税']",0.8257849919999999,1
中华人民共和国民法典,第一百二十条,　民事权益受到侵害的，被侵权人有权请求侵权人承担侵权责任。,现行有效,法律,法律,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=120,55dceb7d83a1c90e3fe9c141b1118193_120,55dceb7d83a1c90e3fe9c141b1118193,"['企业法##内资企业', '建设工程法##综合', '财税##其他法律法规##其他法律', '财税##其他法律法规', '未成年保护##意外受伤', '未成年保护##校园霸凌', '企业法', '未成年保护', '建设工程法', '未成年保护##同学矛盾', '未成年保护##家庭暴力', '企业法##对外业务活动规范', '财税']",0.793126488,1
