法规名称,法条号,内容,时效性,一级效力级别,二级效力级别,地域(含市),实施日期,失效日期,地域,详情链接,法条ID,法规ID,标签,相似度评分,类型
中华人民共和国公司法(2023修订),第九十二条,　设立股份有限公司，应当有一人以上二百人以下为发起人，其中应当有半数以上的发起人在中华人民共和国境内有住所。,现行有效,法律,法律,中央,20240701,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/4b6623ef5d58443a55a8a693226fc7a8?text=92,4b6623ef5d58443a55a8a693226fc7a8_92,4b6623ef5d58443a55a8a693226fc7a8,"['企业法##内资企业', '财税##其他法律法规##其他法律', '财税##司法及单行法律专题法规##公司法', '财税##其他法律法规', '财税##司法及单行法律专题法规', '财税', '企业法', '证券行业法规', '上市公司法', '上市公司法##上市公司']",1.00783848,1
最高人民法院关于适用《中华人民共和国公司法》若干问题的规定(三)(2020修正),第十三条,"　股东未履行或者未全面履行出资义务，公司或者其他股东请求其向公司依法全面履行出资义务的，人民法院应予支持。 
　　公司债权人请求未履行或者未全面履行出资义务的股东在未出资本息范围内对公司债务不能清偿的部分承担补充赔偿责任的，人民法院应予支持；未履行或者未全面履行出资义务的股东已经承担上述责任，其他债权人提出相同请求的，人民法院不予支持。 
　　股东在公司设立时未履行或者未全面履行出资义务，依照本条第一款或者第二款提起诉讼的原告，请求公司的发起人与被告股东承担连带责任的，人民法院应予支持；公司的发起人承担责任后，可以向被告股东追偿。 
　　股东在公司增资时未履行或者未全面履行出资义务，依照本条第一款或者第二款提起诉讼的原告，请求未尽 公司法 第 一百四十七条 第 一款 规定的义务而使出资未缴足的董事、高级管理人员承担相应责任的，人民法院应予支持；董事、高级管理人员承担责任后，可以向被告股东追偿。",现行有效,司法解释,高法司法解释,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/cf6cf35d2ce11ed25911b9f67da2f423?text=13,cf6cf35d2ce11ed25911b9f67da2f423_13,cf6cf35d2ce11ed25911b9f67da2f423,"['企业法##内资企业', '财税##司法及单行法律专题法规##公司法', '财税##司法及单行法律专题法规', '财税', '企业法', '上市公司法', '上市公司法##上市公司']",0.97329384,1
最高人民检察院、公安部关于印发《最高人民检察院、公安部关于公安机关管辖的刑事案件立案追诉标准的规定(二)》的通知(2022修订),第四条,〔虚假出资、抽逃出资案（刑法第一百五十九条）〕公司发起人、股东违反公司法的规定未交付货币、实物或者未转移财产权，虚假出资，或者在公司成立后又抽逃其出资，涉嫌下列情形之一的，应予立案追诉： 　　（一）法定注册资本最低限额在六百万元以下，虚假出资、抽逃出资数额占其应缴出资数额百分之六十以上的； 　　（二）法定注册资本最低限额超过六百万元，虚假出资、抽逃出资数额占其应缴出资数额百分之三十以上的； 　　（三）造成公司、股东、债权人的直接经济损失累计数额在五十万元以上的； 　　（四）虽未达到上述数额标准，但具有下列情形之一的： 　　1．致使公司资不抵债或者无法正常经营的； 　　2．公司发起人、股东合谋虚假出资、抽逃出资的； 　　3．二年内因虚假出资、抽逃出资受过二次以上行政处罚，又虚假出资、抽逃出资的； 　　4．利用虚假出资、抽逃出资所得资金进行违法活动的。 　　（五）其他后果严重或者有其他严重情节的情形。 　　本条只适用于依法实行注册资本实缴登记制的公司。,现行有效,司法解释,两高工作文件,,20220515,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/cbd39ec0c9c99ce02e218cc5d8eda414?text=4,cbd39ec0c9c99ce02e218cc5d8eda414_4,cbd39ec0c9c99ce02e218cc5d8eda414,"['上市公司法##刑事责任', '上市公司法##上市公司', '上市公司法']",0.9654714,1
最高人民检察院、公安部关于印发《最高人民检察院、公安部关于公安机关管辖的刑事案件立案追诉标准的规定(二)》的通知(2022修订),第三条,〔虚报注册资本案（刑法第一百五十八条）〕申请公司登记使用虚假证明文件或者采取其他欺诈手段虚报注册资本，欺骗公司登记主管部门，取得公司登记，涉嫌下列情形之一的，应予立案追诉： 　　（一）法定注册资本最低限额在六百万元以下，虚报数额占其应缴出资数额百分之六十以上的； 　　（二）法定注册资本最低限额超过六百万元，虚报数额占其应缴出资数额百分之三十以上的； 　　（三）造成投资者或者其他债权人直接经济损失累计数额在五十万元以上的； 　　（四）虽未达到上述数额标准，但具有下列情形之一的： 　　1．二年内因虚报注册资本受过二次以上行政处罚，又虚报注册资本的； 　　2．向公司登记主管人员行贿的； 　　3．为进行违法活动而注册的。 　　（五）其他后果严重或者有其他严重情节的情形。 　　本条只适用于依法实行注册资本实缴登记制的公司。,现行有效,司法解释,两高工作文件,,20220515,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/cbd39ec0c9c99ce02e218cc5d8eda414?text=3,cbd39ec0c9c99ce02e218cc5d8eda414_3,cbd39ec0c9c99ce02e218cc5d8eda414,"['上市公司法##刑事责任', '上市公司法##上市公司', '上市公司法']",0.9602688839999999,1
中华人民共和国公司法(2023修订),第二百二十六条,　违反本法规定减少注册资本的，股东应当退还其收到的资金，减免股东出资的应当恢复原状；给公司造成损失的，股东及负有责任的董事、监事、高级管理人员应当承担赔偿责任。,现行有效,法律,法律,中央,20240701,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/4b6623ef5d58443a55a8a693226fc7a8?text=226,4b6623ef5d58443a55a8a693226fc7a8_226,4b6623ef5d58443a55a8a693226fc7a8,"['企业法##内资企业', '财税##其他法律法规##其他法律', '财税##司法及单行法律专题法规##公司法', '财税##其他法律法规', '财税##司法及单行法律专题法规', '财税', '企业法', '证券行业法规', '上市公司法', '上市公司法##上市公司']",0.944733312,1
中华人民共和国刑法(2023修正),第一百五十八条,"　【虚报注册资本罪】申请公司登记使用虚假证明文件或者采取其他欺诈手段虚报注册资本，欺骗公司登记主管部门，取得公司登记，虚报注册资本数额巨大、后果严重或者有其他严重情节的，处三年以下有期徒刑或者拘役，并处或者单处虚报注册资本金额百分之一以上百分之五以下罚金。
单位犯前款罪的，对单位判处罚金，并对其直接负责的主管人员和其他直接责任人员，处三年以下有期徒刑或者拘役。",现行有效,法律,法律,中央,20240301,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/aecabfbe6b0843642509a7f1ff865413?text=158,aecabfbe6b0843642509a7f1ff865413_158,aecabfbe6b0843642509a7f1ff865413,"['财税##司法及单行法律专题法规##刑法与刑事诉讼法（经济）', '财税##其他法律法规##其他法律', '财税##外汇管理法规', '金融法##金融犯罪', '上市公司法##刑事责任', '财税##其他法律法规', '未成年保护##校园霸凌', '财税##司法及单行法律专题法规', '金融法', '企业法', '证券行业法规', '未成年保护', '财税##税收法规##税收征收管理', '未成年保护##家庭暴力', '企业法##刑事风险', '财税##税收法规', '财税', '上市公司法', '上市公司法##上市公司']",0.921854352,1
最高人民法院关于审理军队、武警部队、政法机关移交、撤销企业和与党政机关脱钩企业相关纠纷案件若干问题的规定(2020修正),第六条,　开办单位已经在被开办企业注册资金不实的范围内承担了民事责任的，应视为开办单位的注册资金已经足额到位，不再继续承担注册资金不实的责任。,现行有效,司法解释,高法司法解释,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/fb82e75d59a0618d5624ae5b60e211f0?text=6,fb82e75d59a0618d5624ae5b60e211f0_6,fb82e75d59a0618d5624ae5b60e211f0,[],0.9030701999999999,1
最高人民法院执行工作办公室关于认定开办单位对企业注册资金是否投足问题的函,,"　　最高人民法院执行工作办公室关于认定开办单位对企业注册资金是否投足问题的函
　　（1995年10月19日　法经〔1995〕274号）
　　北京市高级人民法院：
　　据厦门信达贸易进出口公司（下称厦门公司）反映：北京市中级法院于1994年11月以〔1994〕中法调字第132号调解书审结了北京亿兴实业发展总公司（下称亿兴公司）、北京市海天粮油机械电子技术公司（下称海天公司）、中国农业机械化科学研究院（下称研究院）诉厦门信达进出口贸易公司北京贸易部（下称北京贸易部）欠款纠纷一案，确定由北京贸易部分别偿还亿兴公司借款30万元，赔偿损失3万元；偿还海天公司20万元，赔偿损失2万元；偿还研究院40万元，赔偿损失4万元。调解书生效后，北京贸易部未能履行还款义务。北京市中级法院在执行中于今年4月20日，以厦门公司在申请开办北京贸易部时注册资金不实为由，裁定由厦门公司在100万元注册资金范围内对北京贸易部所欠三原告的债务承担清偿责任。",现行有效,司法解释,司法解释性质文件,中央,19951019,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/909c6077a23ebbaa8a32d42b16487a0c,,909c6077a23ebbaa8a32d42b16487a0c,[],0.8947003800000001,2
最高人民法院关于审理军队、武警部队、政法机关移交、撤销企业和与党政机关脱钩企业相关纠纷案件若干问题的规定(2020修正),第二条,　被开办企业领取了企业法人营业执照，虽然实际投入的资金与注册资金不符，但已达到了《 中华人民共和国企业法人登记管理条例施行细则 》第 十二条 第 七项 规定数额的，应当认定其具备法人资格，开办单位应当在该企业实际投入资金与注册资金的差额范围内承担民事责任。,现行有效,司法解释,高法司法解释,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/fb82e75d59a0618d5624ae5b60e211f0?text=2,fb82e75d59a0618d5624ae5b60e211f0_2,fb82e75d59a0618d5624ae5b60e211f0,[],0.8786509199999999,1
中华人民共和国公司法(2023修订),第五十条,　有限责任公司设立时，股东未按照公司章程规定实际缴纳出资，或者实际出资的非货币财产的实际价额显著低于所认缴的出资额的，设立时的其他股东与该股东在出资不足的范围内承担连带责任。,现行有效,法律,法律,中央,20240701,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/4b6623ef5d58443a55a8a693226fc7a8?text=50,4b6623ef5d58443a55a8a693226fc7a8_50,4b6623ef5d58443a55a8a693226fc7a8,"['企业法##内资企业', '财税##其他法律法规##其他法律', '财税##司法及单行法律专题法规##公司法', '财税##其他法律法规', '财税##司法及单行法律专题法规', '财税', '企业法', '证券行业法规', '上市公司法', '上市公司法##上市公司']",0.8662094399999999,1
